date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:19	179897/179897	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Oct%202023%2010:48:21%20GMT	https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB	C:/My%20Web%20Sites/her/promocionsocial.org/en/sustainable-palestine/index8abf.html	(from )
15:03:21	27031/27031	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Oct%202023%2014:03:20%20GMT	https://promocionsocial.org/robots.txt		(from )
15:03:24	125152/125152	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Oct%202023%2014:03:23%20GMT	https://promocionsocial.org/en/sustainable-palestine/e.src	C:/My%20Web%20Sites/her/promocionsocial.org/en/sustainable-palestine/e.src	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:25	58233/58233	---MCZ	200	added ('OK')	text/css	etag:W/%22651531c7-e379%22	https://promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/sitepress-multilingual-cms/dist/css/blocks/styles.css?ver=1695887815	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/sitepress-multilingual-cms/dist/css/blocks/styles1681.css	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:26	17382/17382	---MCZ	200	added ('OK')	text/css	etag:W/%2265152efa-43e6%22	https://promocionsocial.org/wp-content/plugins/custom-twitter-feeds/css/ctf-styles.min.css?ver=2.1.2	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/plugins/custom-twitter-feeds/css/ctf-styles.min431f.css	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:26	179897/179897	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Oct%202023%2010:48:21%20GMT	https://promocionsocial.org/en/sustainable-palestine/	C:/My%20Web%20Sites/her/promocionsocial.org/en/sustainable-palestine/index.html	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:26	76649/76649	---MCZ	200	added ('OK')	text/css	etag:W/%22651531c7-12b69%22	https://promocionsocial.org/wp-content/cache/min/1/wp-content/cache/asset-cleanup/css/item/give__assets__dist__css__give-css-vd9b6aa06fa0da7b7097840b25ddd29f99a8e4e2a.css?ver=1695887815	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/cache/min/1/wp-content/cache/asset-cleanup/css/item/give__assets__dist__css__give-css-vd9b6aa06fa0da7b7097840b25ddd29f99a8e4e2a1681.css	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:26	3593/3593	---MCZ	200	added ('OK')	text/css	etag:W/%22651531c7-e09%22	https://promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/give-form-field-manager/assets/dist/css/give-ffm-frontend.css?ver=1695887815	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/give-form-field-manager/assets/dist/css/give-ffm-frontend1681.css	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:26	21803/21803	---MCZ	200	added ('OK')	text/css	etag:W/%22651531c7-552b%22	https://promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/give-form-field-manager/assets/dist/css/give-ffm-datepicker.css?ver=1695887815	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/cache/min/1/wp-content/plugins/give-form-field-manager/assets/dist/css/give-ffm-datepicker1681.css	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
15:03:27	37363/37363	---MCZ	200	added ('OK')	text/css	etag:W/%2265152f2e-91f3%22	https://promocionsocial.org/wp-content/plugins/search-filter-pro/public/assets/css/search-filter.min.css?ver=2.5.16	C:/My%20Web%20Sites/her/promocionsocial.org/wp-content/plugins/search-filter-pro/public/assets/css/search-filter.min60a8.css	(from https://promocionsocial.org/en/sustainable-palestine/?gclid=Cj0KCQjwpompBhDZARIsAFD_Fp8tQ8ydQZ6gqhK-d7aj1_UcseKq2dIQD1w5HEzlmv6jCwDoZoOmfbIaAuusEALw_wcB)
